symbol,exchange,date,period,strike,out-of-the-money %,call/put,iv,delta
SX5E,N/A,03/30/17,120,4003.92,15,C,0.139173,0.021258
SX5E,N/A,03/30/17,120,2959.419,15,P,0.227208,-0.12738
SX5E,N/A,03/30/17,120,4178.004,20,C,0.1381,0.004933
SX5E,N/A,03/30/17,120,2785.336,20,P,0.24964,-0.070571
SX5E,N/A,03/30/17,120,4352.087,25,C,0.138001,0.000977
SX5E,N/A,03/30/17,120,2611.252,25,P,0.272971,-0.03832
SX5E,N/A,03/30/17,120,4526.171,30,C,0.138001,0.000164
SX5E,N/A,03/30/17,120,2437.169,30,P,0.297914,-0.020689
SX5E,N/A,03/30/17,120,4700.254,35,C,0.138001,0.000024
SX5E,N/A,03/30/17,120,2263.085,35,P,0.32348,-0.010951
SX5E,N/A,03/30/17,120,4874.338,40,C,0.138001,0.000003
SX5E,N/A,03/30/17,120,2089.002,40,P,0.352574,-0.005952
SX5E,N/A,03/30/17,120,5048.421,45,C,0.138001,0
SX5E,N/A,03/30/17,120,1914.918,45,P,0.3683,-0.002342
SX5E,N/A,03/30/17,120,5222.505,50,C,0.138001,0
SX5E,N/A,03/30/17,120,1740.835,50,P,0.38619,-0.000853
SX5E,N/A,03/30/17,120,5396.588,55,C,0.138001,0
SX5E,N/A,03/30/17,120,1566.751,55,P,0.404791,-0.000273
SX5E,N/A,03/30/17,120,5570.672,60,C,0.138001,0
SX5E,N/A,03/30/17,120,1392.668,60,P,0.404791,-0.000037
SX5E,N/A,03/30/17,150,3481.67,0,C,0.169773,0.422775
SX5E,N/A,03/30/17,150,3481.67,0,P,0.16945,-0.554514
SX5E,N/A,03/30/17,150,3655.753,5,C,0.155972,0.242028
SX5E,N/A,03/30/17,150,3307.586,5,P,0.185829,-0.378733
SX5E,N/A,03/30/17,150,3829.837,10,C,0.145774,0.106114
SX5E,N/A,03/30/17,150,3133.503,10,P,0.204081,-0.24119
SX5E,N/A,03/30/17,150,4003.92,15,C,0.140004,0.036367
SX5E,N/A,03/30/17,150,2959.419,15,P,0.223607,-0.146799
SX5E,N/A,03/30/17,150,4178.004,20,C,0.138539,0.010961
SX5E,N/A,03/30/17,150,2785.336,20,P,0.244828,-0.087276
SX5E,N/A,03/30/17,150,4352.087,25,C,0.138404,0.002953
SX5E,N/A,03/30/17,150,2611.252,25,P,0.267058,-0.051032
SX5E,N/A,03/30/17,150,4526.171,30,C,0.138404,0.000701
SX5E,N/A,03/30/17,150,2437.169,30,P,0.291049,-0.029747
SX5E,N/A,03/30/17,150,4700.254,35,C,0.138404,0.000148
SX5E,N/A,03/30/17,150,2263.085,35,P,0.315328,-0.016964
SX5E,N/A,03/30/17,150,4874.338,40,C,0.138404,0.000028
SX5E,N/A,03/30/17,150,2089.002,40,P,0.341814,-0.009688
SX5E,N/A,03/30/17,150,5048.421,45,C,0.138404,0.000005
SX5E,N/A,03/30/17,150,1914.918,45,P,0.363847,-0.004894
SX5E,N/A,03/30/17,150,5222.505,50,C,0.138404,0.000001
SX5E,N/A,03/30/17,150,1740.835,50,P,0.388453,-0.002419
SX5E,N/A,03/30/17,150,5396.588,55,C,0.138404,0
SX5E,N/A,03/30/17,150,1566.751,55,P,0.41361,-0.00111
SX5E,N/A,03/30/17,150,5570.672,60,C,0.138404,0
SX5E,N/A,03/30/17,150,1392.668,60,P,0.41361,-0.00023
SX5E,N/A,03/30/17,180,3481.67,0,C,0.170239,0.434894
SX5E,N/A,03/30/17,180,3481.67,0,P,0.169962,-0.543026
SX5E,N/A,03/30/17,180,3655.753,5,C,0.157322,0.267727
SX5E,N/A,03/30/17,180,3307.586,5,P,0.18517,-0.382244
SX5E,N/A,03/30/17,180,3829.837,10,C,0.147478,0.133123
SX5E,N/A,03/30/17,180,3133.503,10,P,0.202224,-0.253464
SX5E,N/A,03/30/17,180,4003.92,15,C,0.14127,0.053738
SX5E,N/A,03/30/17,180,2959.419,15,P,0.220603,-0.161539
SX5E,N/A,03/30/17,180,4178.004,20,C,0.139153,0.019266
SX5E,N/A,03/30/17,180,2785.336,20,P,0.240564,-0.100682
SX5E,N/A,03/30/17,180,4352.087,25,C,0.138766,0.006337
SX5E,N/A,03/30/17,180,2611.252,25,P,0.261679,-0.061829
SX5E,N/A,03/30/17,180,4526.171,30,C,0.138919,0.00192
SX5E,N/A,03/30/17,180,2437.169,30,P,0.284524,-0.037823
SX5E,N/A,03/30/17,180,4700.254,35,C,0.138919,0.000524
SX5E,N/A,03/30/17,180,2263.085,35,P,0.307676,-0.022675
SX5E,N/A,03/30/17,180,4874.338,40,C,0.138919,0.000131
SX5E,N/A,03/30/17,180,2089.002,40,P,0.332399,-0.013478
SX5E,N/A,03/30/17,180,5048.421,45,C,0.138919,0.000031
SX5E,N/A,03/30/17,180,1914.918,45,P,0.357078,-0.007696
SX5E,N/A,03/30/17,180,5222.505,50,C,0.138919,0.000007
SX5E,N/A,03/30/17,180,1740.835,50,P,0.384214,-0.004351
SX5E,N/A,03/30/17,180,5396.588,55,C,0.138919,0.000001
SX5E,N/A,03/30/17,180,1566.751,55,P,0.411953,-0.002328
SX5E,N/A,03/30/17,180,5570.672,60,C,0.138919,0
SX5E,N/A,03/30/17,180,1392.668,60,P,0.416186,-0.000672
SX5E,N/A,03/30/17,360,3481.67,0,C,0.175044,0.447165
SX5E,N/A,03/30/17,360,3481.67,0,P,0.175213,-0.522343
SX5E,N/A,03/30/17,360,3655.753,5,C,0.165858,0.331099
SX5E,N/A,03/30/17,360,3307.586,5,P,0.185483,-0.409261
SX5E,N/A,03/30/17,360,3829.837,10,C,0.158251,0.225089
SX5E,N/A,03/30/17,360,3133.503,10,P,0.197037,-0.308623
